"WS","WS_l","WS_dl","PS","PS_l","PS_dl","Y","Y_l","Y_dl","Yrw","Yrw_l","Yrw_dl","Tax","Yf","Yf_l","Yf_dl","C","C_l","C_dl","W","W_l","W_dl","R","R_l","R_dl","It","It_l","It_dl","Itcurr","Itcurr_l","Itcurr_dl","Ipr","Ipr_l","Ipr_dl","Ips","Ips_l","Ips_dl","I","I_l","I_dl","r","r_l","r_dl","P","P_l","P_dl","Pm","Pm_l","Pm_dl","Px","Px_l","Px_dl","X","X_l","X_dl","M","M_l","M_dl","rulc","rulc_l","rulc_dl","ulc","ulc_l","ulc_dl","Tau","Tau_l","Tau_dl","dPxdPm","dPdPm"
55.6851037,2.23749623378159,-0.0533275149640358,-54.6851037,2.27235802351168,0.0543488937182142,23.2242,2.83356269479085,0.115023693974465,29522560969860.1,30.6538650858974,0.0226110355338669,1.307731,21.916469,2.7571884951436,0.115452328247609,9.12445,1.99190047897695,0.0851515019903795,1220.42084900284,6.7618383875837,0.103913376512853,-1198.50438000284,7.62068135292316,-0.0401538169886475,4.43386,1.38367593603502,0.164047325898674,3.07633,1.36260855403073,0.135186837017887,2.633368,0.36359256195173,0.36359256195173,0.8560095958496,0.122216206000676,0.00538169411304099,3.79542670665371,0.573703469678847,0.362712171979802,6.2235217,2.74242845846901,0.0240648835108268,52.2018903,3.72233658971809,0.0228557543540582,49.972829,3.63269229110422,0.032432933639412,47.1052557,3.53690784962656,0.0165169401125893,25.1439,3.03823605308071,0.106871648559527,20.8625,2.8539613144555,0.105979114761949,52.5495323413868,1.90112693502519,-0.0792679911870897,2743.18492260138,7.66670865049081,0.00978784302873592,96.4537464,3.77029773448416,0.0909169880954712,0.509264450025519,0.704708202106152
57.7860096,2.43980013389784,0.202303900116249,-56.7860096,2.02832535002972,-0.244032673481958,23.6468,2.85810909239763,0.0245463976067817,30136256951889.8,30.6832918971516,0.0294268112542326,1.463671,22.183129,2.77397176539453,0.0167832702509325,8.91017,1.96222912443979,-0.0296713545371552,1281.87450535204,6.83053203944809,0.0686936518643932,-1259.69137635204,7.59022798301318,-0.0304533699099805,3.76546,1.20030809748319,-0.183367838551836,2.75177,1.27586825923895,-0.0867402947917759,2.207431,0.0124728891003832,-0.351119672851347,0.802185865824542,0.0734127699223482,-0.0488034360783283,3.02059879032768,0,-0.573703469678847,4.0306305,2.59014834088647,-0.152280117582542,54.1485326,3.76832737955497,0.0459907898368792,51.3403089,3.6682166205464,0.0355243294421843,47.9387073,3.56087443435061,0.0239665847240444,25.8306,3.07061244748316,0.0323763944024487,20.2169,2.81605521698494,-0.0379060974705601,54.2092166953684,2.12263483588086,0.221507900855671,2935.34953744962,7.7528524447402,0.0861437942493861,95.4602426,3.74713606735101,-0.0231616671331514,0.67465269859773,1.29462795101394
57.1955443,2.38695221535518,-0.0528479185426578,-56.1955443,2.10313504557119,0.0748096955414712,24.64021,2.91354288841623,0.055433796018602,30498288657019.4,30.7002537705759,0.0169618734242789,1.688851,22.951359,2.82080574600515,0.0468339806106211,9.09195,1.98745645262899,0.0252273281892008,1312.7154704297,6.86330603323937,0.0327739937912739,-1289.7641114297,7.57491358129223,-0.0153144017209428,4.5408,1.41012806837129,0.209819970888101,3.36981,1.43504881036584,0.159180551126889,2.782109,0.46198972855091,0.449516839450527,0.825598179125826,0.0949346284571436,0.0215218585347955,3.74887621177455,0.547125202314715,0.547125202314715,0.441241,2.27648334704144,-0.313664993845032,57.3825029,3.84034519127783,0.0720178117228585,52.9733301,3.70904937669404,0.0408327561476374,50.6679067,3.63556195187299,0.0746875175223862,27.0598,3.12607170227771,0.0554592547945472,21.2725,2.87730903301018,0.0612538160252396,53.2753361448504,2.004076229985,-0.11855860589586,3057.07213083035,7.80381335152689,0.0509609067866936,96.58668,3.7733565331065,0.026220465755495,1.8291079165056,1.76372644213549
56.5079549,2.32167111064568,-0.0652811047094972,-55.5079549,2.18373407724989,0.0805990316787004,25.58161,2.96338210406931,0.0498392156530749,31467321572464.6,30.7442880321613,0.0440342615853915,1.810272,23.771338,2.86848696773594,0.0476812217307918,9.45962,2.03661493510007,0.0491584824710711,1343.26969561666,6.89474944025397,0.0314434070146064,-1319.49835761666,7.55953740393143,-0.015376177360805,4.54273,1.41059909361645,0.000471025245166956,3.41989,1.44690251221245,0.0118537018466107,2.910274,0.539642791841589,0.0776530632906787,0.850984680793827,0.117759455598589,0.0228248271414452,3.86579363898254,0.612584880943274,0.0654596786285594,3.4838661,2.54827141202753,0.271788064986097,59.4153989,3.88309733075904,0.042752139481208,54.0813794,3.73583550160494,0.0267861249108976,52.2530433,3.67651063720459,0.040948685331601,29.1408,3.21347325724574,0.0874015549680274,22.7001,2.95459773019544,0.0772886971852516,52.5091929560593,1.89508199048335,-0.108994239501647,3119.85464540133,7.8291167860141,0.0253034344872045,97.0887035,3.78482442330593,0.0114678901994254,1.52872748364365,1.5960554064248
56.6858634,2.33897504370184,0.0173039330561622,-55.6858634,2.1634945396868,-0.0202395375630955,25.94806,2.98213018313571,0.0187480790663996,32377575946212.4,30.7839565297717,0.0396684976104353,1.79251,24.15555,2.89006976785732,0.0215828001213767,9.6372,2.05951940724296,0.0229044721428968,1369.27820765187,6.92075726933323,0.0260078290792558,-1345.12265765187,7.54609420847246,-0.013443195458966,4.47383,1.39364478047683,-0.0169543131396241,3.4187,1.446622468392,-0.000280043820451548,2.85602,0.507504113653597,-0.0321386781879922,0.835411121186416,0.103819250344717,-0.0139402052538722,3.73748733629742,0.540513667734925,-0.0720712132083486,4.7865884,2.64530257313549,0.0970311611079584,60.800846,3.91122029334099,0.0281229625819499,54.7679644,3.75208011274368,0.0162446111387409,53.054605,3.6965960097697,0.0200853725651045,30.4727,3.26565253482701,0.0521792775812755,23.6615,3.00347224256421,0.0488745123687719,52.7699646005085,1.93352889050068,0.0384469000173304,3208.45849110097,7.86377158844426,0.0346548024301594,95.5839628,3.75004978347551,-0.0347746398304216,1.23643295573902,1.73121796156025
56.2081936,2.29182055266228,-0.0471544910395587,-55.2081936,2.21693592595682,0.0534413862700251,26.30833,3.00022566314133,0.0180954800056248,33336579305130.2,30.8241141871923,0.0401576574205649,1.87037,24.43796,2.90564207093201,0.0155723030746904,9.83036,2.08385180216838,0.0243323949254215,1373.61358686906,6.92502751437215,0.00427024503891804,-1349.17562686906,7.5439512612135,-0.00214294725896202,4.28572,1.34583688348861,-0.0478078969882161,3.3161,1.42217778093021,-0.0244446874617839,2.67082,0.389295074945527,-0.11820903870807,0.805409969542535,0.0764041838017541,-0.0274150665429626,3.45176161466783,0.358487277707427,-0.182026390027499,1.7534554,2.4028442789672,-0.242458294168288,63.5294981,3.96439783414654,0.0531775408055517,56.7197869,3.79686902776815,0.0447889150244651,56.3649821,3.77552110922319,0.0789250994534902,31.587,3.30730785891322,0.0416553240862019,24.725,3.05489229395342,0.0514200513892153,52.212116347524,1.84940196486305,-0.0841269256376311,3317.009546297,7.90465374070975,0.0408821522654907,94.3401499,3.72036324703168,-0.0296865364438279,1.76215698483383,1.187292453423
57.0293605,2.37156051899549,0.079739966333209,-56.0293605,2.12321858972549,-0.0937173362313368,27.81046,3.07233213836269,0.0721064752213598,34449596402776.8,30.8687849021635,0.0446707149711685,2.09976,25.7107,2.97296070832,0.067318637387991,10.08977,2.11562519571128,0.0317733935428937,1466.26477900735,7.01218146789332,0.0871539535211694,-1440.55407900735,7.49437564423406,-0.0495756169794417,4.55763,1.41422805718364,0.0683911736950278,3.61739,1.49232640125468,0.0701486203244635,2.94715,0.560912090229578,0.171617015284052,0.814717240883621,0.084989865211894,0.00858568141013989,3.71317973856842,0.526254552276976,0.167767274569549,6.62343,2.76786185568757,0.365017576720368,62.9197072,3.95275683670214,-0.0116409974444007,60.1671335,3.87138415663569,0.0745151288675427,57.7990566,3.8078686021243,0.0323474929011156,35.0719,3.42739780003128,0.120089941118066,27.5516,3.17994786885737,0.125055574903942,52.723499683477,1.92678566492129,0.0773837000582374,3317.34716264367,7.90477832087787,0.000124580168117561,96.5834284,3.77328182539779,0.0529185783661146,0.434106380713857,-0.156223274673438
58.3841862,2.49063392591978,0.119073406924289,-57.3841862,1.94636283229308,-0.176855757432407,29.49151,3.14730463236645,0.074972494003759,35385500228573.8,30.9048619255821,0.0360770234186489,2.29098,27.20053,3.04640376216039,0.0734430538403905,10.31621,2.14255834953685,0.0269331538255773,1588.08080825869,7.11630443581915,0.104122967925836,-1560.88027825869,7.42510498564141,-0.0692706585926492,5.05808,1.52904314279402,0.11481508561038,4.002,1.57526873874395,0.0829423374892686,3.14984,0.670369732869957,0.109457642640379,0.787066466766617,0.0592639400103517,-0.0257259252015423,3.98104515422289,0.673172183995593,0.146917631718617,6.8713568,2.78331074783421,0.0154488921466402,61.6589995,3.92825129158685,-0.0245055451152911,61.8657202,3.90615338284796,0.0347692262122736,58.1155085,3.81486783808054,0.00699923595623453,39.4809,3.56119947992899,0.133801679897708,31.3657,3.3271776107468,0.14722974188943,53.8487452239199,2.07852188649085,0.151736221569567,3320.2597548373,7.90585242112614,0.00107410024827459,98.494783,3.81626114383096,0.0429793184331619,0.201305485301936,-0.70480559347739
55.9941704,2.26994915732982,-0.220684768589963,-54.9941704,2.23998445827441,0.293621625981332,31.99269,3.24938291520651,0.102078282840058,36539548332899.2,30.947627411605,0.0427654860228728,2.65441,29.33828,3.14317313567507,0.096769373514682,10.934,2.21255097029006,0.0699926207532098,1642.77264956291,7.15974384438954,0.0434394085703893,-1613.43436956291,7.39327638318488,-0.0318286024565282,5.96456,1.70842133760472,0.179378194810699,4.74084,1.71755303068822,0.142284291944271,3.8438,0.974152009758401,0.303782276888444,0.810784586697716,0.0813710975743619,0.0221071575640102,4.83597331443373,1.03509529860544,0.36192311460985,-1.078158,2.10693031453863,-0.676380433295581,65.2356523,3.99626647997431,0.068015188387466,63.8761452,3.94580208393763,0.0396487010896664,61.6059849,3.88898436432252,0.0741165262419825,44.322,3.69004127893403,0.128841799005036,35.4141,3.46285676204888,0.135679151302088,51.3483751932992,1.70334276156793,-0.375179124922926,3349.74475028001,7.91666137677075,0.0108089556446069,102.030731,3.8912071938741,0.0749460500431418,1.86933050024429,1.71544556361753
56.5908214,2.32976823091822,0.0598190735883981,-55.5908214,2.17435781436748,-0.0656266439069277,34.62882,3.34676090704107,0.0973779918345592,38012496116072.9,30.9996810632103,0.0520536516053411,3.084,31.54482,3.23411255410219,0.0909394184271166,11.39874,2.26215260593924,0.0496016356491764,1785.14727471515,7.26469935227608,0.10495550788654,-1753.60245471515,7.30307139901422,-0.0902049841706623,5.70923,1.66106405142274,-0.0473572861819809,4.66677,1.70416792397336,-0.0133851067148567,3.78064,0.950019468618196,-0.0241325411402047,0.810119204503329,0.0807575257830248,-0.000613571791337156,4.62515686592654,0.957263016130305,-0.0778322824751382,3.2838918,2.53250645496755,0.425576140428918,66.6480117,4.02190013740079,0.0256336574264759,70.7816717,4.07113274021998,0.125330656282352,66.9989296,3.99368005488897,0.104695690566449,51.1493,3.84745888396289,0.157417605028864,40.2579,3.60418720405122,0.141330442002338,51.5509126419886,1.73955585862536,0.0362130970574299,3435.76582890893,7.9475443511769,0.0308829744061487,105.6932069,3.96333271668094,0.0721255228068407,0.835355799387056,0.204528231055672
