"WS","WS_l","WS_dl","PS","PS_l","PS_dl","Y","Y_l","Y_dl","Yrw","Yrw_l","Yrw_dl","Tax","Yf","Yf_l","Yf_dl","C","C_l","C_dl","W","W_l","W_dl","R","R_l","R_dl","It","It_l","It_dl","Itcurr","Itcurr_l","Itcurr_dl","Ipr","Ipr_l","Ipr_dl","Ips","Ips_l","Ips_dl","I","I_l","I_dl","r","r_l","r_dl","P","P_l","P_dl","Pm","Pm_l","Pm_dl","Px","Px_l","Px_dl","X","X_l","X_dl","M","M_l","M_dl","rulc","rulc_l","rulc_dl","ulc","ulc_l","ulc_dl","Tau","Tau_l","Tau_dl","dPxdPm","dPdPm"
69.1546022,4.23634460976456,-0.0328308995524127,30.8453978,3.42898755932021,0.0777752404345726,955.911,6.86266481248337,0.0385411736954913,15018611233303.4,30.3403112968249,0.0558508855839825,26.0402,929.8708,6.83504565176518,0.0360167688886062,480.567,6.17496665677509,0.000509944447920851,64304.8452713958,11.0713902615297,0.00318586933619436,28682.2347286042,10.2640332110854,0.113792009323179,177.2256,5.17742349726222,0.0931933149982767,41.6842,3.7301221601227,0.175119872691962,34.6802,3.5461689189084,0.202251134899242,0.831974705044118,-0.183953241214302,0.0271312622072808,147.447216286267,4.99347025604792,0.120324577205558,1.2671869,1.22678698058822,-0.462154737414679,16.88952,2.82669331123293,0.0916776677417723,26.0224095,3.25895807064181,0.045617851004133,23.4681619,3.15564468979557,0.0632214129402398,181.662,5.2021478175918,0.0512869205116342,166.365,5.11418416972481,0.011449906853926,67.2707451545131,4.20872544904637,-0.0353553043592978,1136.17059570205,7.0354187602793,0.056322363382475,69.0398275,4.23468354822049,0.0116953716239223,1.38589196002486,2.00968843827094
67.9617677,4.21894530735421,-0.0173993024103467,32.0382323,3.46692994901772,0.0379423896975091,995.036,6.9027789174086,0.0401141049252338,15995158401664.5,30.4033071924798,0.0629958956549217,28.8983,966.1377,6.87330637063757,0.0382607188723858,516.931,6.24790940331915,0.0729427465440589,65660.4259336123,11.0922516779918,0.02086141646204,30953.3440663877,10.3402363196553,0.076203108569894,186.678,5.22938520750376,0.0519617102415388,47.7818,3.86664481385445,0.136522653731753,40.7408,3.70723004732653,0.16106112841813,0.852642637991871,-0.159414766527924,0.0245384746863771,159.169622375047,5.06997044097584,0.0765001849279159,1.7625137,1.36240668385714,0.135619703268916,18.6832381,2.92762676360246,0.100933452369529,28.3321618,3.34399761873205,0.0850395480902431,26.4190565,3.27408558687437,0.118440897078801,196.841,5.28239629625311,0.0802484786613151,195.974,5.2779819973701,0.163797827645283,65.9879903175486,4.18947276058318,-0.0192526884631947,1232.86933484326,7.11709952418564,0.0816807639063342,70.2258482,4.25171645123705,0.017032903016565,1.39277430017752,1.18690014982699
70.1466297,4.25058776120329,0.0316424538490798,29.8533703,3.39629774133769,-0.0706322076800285,983.868,6.89149174171236,-0.0112871756962374,16193681331998.2,30.4156422408463,0.0123350483665661,30.5748,953.2932,6.85992251635755,-0.0133838542800211,505.21,6.22497418442137,-0.0229352188977785,66870.3050959281,11.1105102775608,0.0182585995690587,28459.014904072,10.2562202576952,-0.0840160619600496,173.307,5.15506458828896,-0.0743206192148005,51.7042,3.94553901612579,0.0788942022713344,43.4562,3.77175353428205,0.0645234869555171,0.840477175935417,-0.173785481843742,-0.0143707153158172,145.660577929839,4.98127910644522,-0.0886913345306191,2.2897845,1.48904323691324,0.126636553056103,21.1618391,3.05219951720195,0.124572753599498,36.8711385,3.60742909053254,0.263431471800485,31.3554478,3.44538802550678,0.17130243863241,203.562,5.31597062678535,0.0335743305322431,192.019,5.25759432546506,-0.0203876719050351,67.9667446201401,4.21901853584848,0.0295457752652961,1438.3013138022,7.27121805305043,0.154118528864794,68.8120263,4.2313785305355,-0.0203379207015537,0.650273247389928,0.472884855966813
70.9379237,4.26180518052132,0.0112174193180286,29.0620763,3.36943410431657,-0.026863637021123,969.536,6.87681760653586,-0.0146741351765067,16191371878132.6,30.4154996161698,-0.000142624676541914,33.2848,936.2512,6.84188381653955,-0.0180386998179953,521.085,6.25591317623892,0.0309389918175507,66415.7161896334,11.1036889970609,-0.00682128049996855,27209.4038103666,10.2113179208561,-0.0449023368391188,156.6746,5.05417104305179,-0.100893545237169,51.9286,3.94986969812444,0.00433068199864861,42.6046,3.75196222866643,-0.0197913056156169,0.820445765917048,-0.197907469458007,-0.0241219876142656,128.543012196747,4.85626357359378,-0.125015532851434,-0.5608925,0.458800672308989,-1.03024256460425,23.9881729,3.17756091305084,0.125361395848885,38.6543822,3.65466015023623,0.0472310597036967,33.8008436,3.52048576075739,0.0750977352506141,202.088,5.30870324610045,-0.00726738068490018,182.488,5.20668441743604,-0.0509099080290243,68.5025787486317,4.22687139052502,0.00785285467653907,1643.25170311804,7.40443230357585,0.133214250525423,67.5298793,4.21257015623138,-0.0188083743041139,1.59000741718985,2.65421518457002
69.9882469,4.24832732652376,-0.0134778539975562,30.0117531,3.40158907494033,0.0321549706237563,1026.977,6.93437481435159,0.0575572078157283,16996434139647.1,30.4640246814914,0.0485250653216482,40.3786,986.5984,6.89426306706712,0.0523792505275713,560.824,6.32940713081036,0.0734939545714433,69050.292410345,11.1425903935909,0.0389013965300169,29609.547589655,10.2958521420075,0.084534221151328,182.8112,5.20845392628978,0.154282883237989,65.1933,4.17735670291616,0.227487004791728,54.8103,4.0038781324968,0.251915903830366,0.840735167570901,-0.17347857041937,0.0244288990386375,153.695804865837,5.03497535587041,0.178711782276626,5.0191124,1.96881443182939,1.5100137595204,26.2382852,3.26721961133069,0.0896586982798486,41.4342764,3.72410847065147,0.069448320415241,36.4029955,3.59465106521278,0.0741653044553825,209.021,5.34243472538609,0.0337314792856329,213.112,5.36181784910994,0.155133431673898,67.236454575268,4.2082155792393,-0.0186558112857123,1764.16927098273,7.47543519056999,0.0710028869941368,69.9131643,4.24725396197991,0.0346838057485259,1.06792077924906,1.29101319864566
70.2461397,4.25200535581432,0.00367802929055561,29.7538603,3.39295888155699,-0.00863019338333348,1046.185,6.95290549323097,0.0185306788793875,17664825287299.1,30.5025965063595,0.0385718248680895,47.5783,998.6067,6.90636100743715,0.012097940370027,571.95,6.34905157497168,0.0196444441613197,70148.265753556,11.1583663632515,0.0157759696605808,29712.404246444,10.2993198889941,0.0034677469866935,181.7275,5.20250831232656,-0.00594561396322035,70.043,4.24910933916741,0.0717526362512411,58.081,4.06183858799917,0.0579604555023776,0.829219193923733,-0.187270751168233,-0.0137921807488634,150.691931063775,5.01523756115833,-0.0197377947120838,6.7454124,2.18475607878066,0.215941646951272,28.5671622,3.35225788334293,0.085038272012246,44.3897137,3.79300776917432,0.0688992985228492,39.1428893,3.66721877886527,0.0725677136524889,216.517,5.37766906629981,0.0352343409137248,214.943,5.37037287669906,0.00855502758912419,67.0514925692454,4.2054608700205,-0.00275470921880494,1915.47086397773,7.55771875336343,0.0822835627934415,70.4668765,4.25514276253086,0.00788880055094943,1.05324314192289,1.2342400261745
70.3218662,4.2530827917051,0.00107743589077547,29.6781338,3.39041053896383,-0.00254834259316805,1069.476,6.97492408787796,0.0220185946469904,18412312344635.5,30.544040705928,0.0414441995684456,56.2302,1013.2458,6.92091412042211,0.014553112984955,581.839,6.36619377715926,0.0171422021875758,71253.335575312,11.1739969121272,0.0156305488757322,30071.244424688,10.3113246593859,0.0120047703917869,185.4587,5.22283221574976,0.0203239034231952,76.5626,4.33810870686064,0.0889993676932361,63.5016,4.1510651024316,0.0892265144324318,0.829407569753378,-0.187043604429038,0.0002271467391953,153.820849656621,5.03578861132072,0.0205510501623909,7.2004812,2.23468615865389,0.0499300798732292,31.1252758,3.43802021578979,0.0857623324468553,45.4536444,3.81669300222734,0.0236852330530164,41.5727766,3.72744554439457,0.0602267655292992,219.54,5.39153444825917,0.0138653819593584,217.027,5.38002176976357,0.00964889306451422,66.6245297466348,4.19907282424924,-0.00638804577125907,2073.70686340931,7.63709304003903,0.0793742866755958,70.8503936,4.26057052151999,0.00542775898912762,2.5427980967926,3.62091993162521
70.8573769,4.26066908068835,0.00758628898325764,29.1426231,3.3722018138743,-0.0182087250895231,1110.855,7.01288526807076,0.0379611801927915,19173874560185.4,30.5845697683791,0.040529062451089,65.3752,1045.4798,6.95223119778295,0.0313170773608391,587.843,6.37645990544324,0.010266128283984,74079.9562299366,11.2129002784713,0.0389033663440959,30468.0237700634,10.3244330116572,0.0131083522713169,186.5582,5.22874325474508,0.00591103899532897,82.6865,4.41505634807567,0.076947641215023,67.3335,4.20965788397756,0.0585927815459515,0.814322773366874,-0.205398464098109,-0.018354859669071,151.918590818332,5.02334479064698,-0.0124438206737425,9.0329552,2.41377067993393,0.179084521280038,33.3253803,3.50631927785262,0.0682990620628314,50.5577093,3.92311544224577,0.106422440018433,44.4532285,3.7944375914933,0.0669920470987386,243.446,5.49489515201519,0.10336070375602,231.492,5.44454531569375,0.0645235459301787,66.6873320369775,4.20001501040054,0.000942186151304369,2222.38070132465,7.70633428825316,0.0692412482141362,72.3095831,4.28095666671595,0.0203861451959586,0.629491741470454,0.641773126522952
71.5075228,4.26980265815137,0.0091335774630199,28.4924772,3.34964009453685,-0.022561719337451,1105.49,7.0080439545759,-0.00484131349485484,19462011863090.9,30.5994855718796,0.0149158035005712,69.5522,1035.9378,6.943062382407,-0.00916881537594527,574.69,6.3538307649795,-0.022629140463744,74077.3458528818,11.2128650405584,-0.0000352379129253677,29516.4341471182,10.2927024769439,-0.0317305347133967,169.2058,5.13111572554442,-0.0976275292006603,81.9882,4.40657533447028,-0.00848101360538589,66.7182,4.2004777792693,-0.00918010470825514,0.813753686506107,-0.206097555200978,-0.000699091102869531,137.691843528215,4.92501817034345,-0.0983266203035296,9.1070677,2.42038017302234,0.00660949308840797,36.2615295,3.59075738590427,0.0844381080516525,60.4261825,4.10142249611258,0.178307053866812,50.6916077,3.92576036829616,0.131322776802858,257.032,5.54920059076272,0.0543054387475292,218.611,5.387293894696,-0.0572514209977548,67.0086078145274,4.20482108598247,0.00480607558192858,2429.83460902041,7.79557847188675,0.0892441836335811,71.6625381,4.27196812989318,-0.0089885368227689,0.736497934069117,0.473554501745761
70.2583752,4.25217952103655,-0.017623137114823,29.7416248,3.3925475730299,0.0429074784930519,1098.126,7.00136036958409,-0.0066835849918121,19876485566223.9,30.620558519146,0.0210729472663864,74.7655,1023.3605,6.93084709879203,-0.0122152836149683,567.472,6.34119140893129,-0.0126393560482079,71899.6459738596,11.1830266198286,-0.0298384207297921,30436.4040261404,10.3233946718219,0.0306921948780836,140.8723,4.94785380624903,-0.183261919295393,75.9089,4.32953393707926,-0.0770413973910165,60.5069,4.10275740812041,-0.0977203711488883,0.79709889090739,-0.22677652895885,-0.0206789737578713,112.289154089573,4.72107727729018,-0.203940893053264,7.7926949,2.29614064205568,-0.124239530966658,40.1393221,3.69235645483495,0.101599068930676,69.5162177,4.24156007355073,0.140137577438144,56.9343523,4.04189889006718,0.116138521771023,279.295,5.63226857089329,0.0830679801305694,219.825,5.39283177526507,0.00553788056906779,65.4748598738757,4.18166625024449,-0.0231548357379783,2628.11648992986,7.87402270507944,0.0784442331926964,71.6273389,4.27147682930105,-0.000491300592128319,0.828746463968851,0.724995185360052
